STRECKE_NR;RICHTUNG;KM_I;KM_L;BEZEICHNUNG;TECHN_SICHERUNG;STRASSENART;GEOGR_BREITE;GEOGR_LAENGE;GK_H_DGN;GK_R_DGN
4540;0;108890023;88,9 + 23;Bü 88.916 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,06810301;9,26203764;5325594,538;3519604,852
4540;0;108980086;89,8 + 86;Bü 89.886 Ulm - Sigmaringen;Nicht technisch gesichert;Strasse;48,07349608;9,25225321;5326191,766;3518873,686
4540;0;109170041;91,7 + 41;Bü 91.737 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,08091148;9,23012605;5327011,13;3517222,328
4550;0;100050062;0,5 + 62;Bü 0.56 Herbertingen - Isny;Schrankenabschluss;Strasse;48,06354673;9,42192546;5325140,834;3531523,537
4550;0;100150016;1,5 + 16;Bü 1.52 Herbertingen - Isny;Schrankenabschluss;Strasse;48,05692789;9,42988913;5324408,162;3532121,202
4550;0;100190005;1,9 + 5;Bü 1.907 Herbertingen - Isny;Schrankenabschluss;Strasse;48,05406331;9,43288434;5324090,898;3532346,263
4550;0;100320024;3,2 + 24;Bü 3.23 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;48,04466409;9,44360074;5323050,339;3533151,155
4550;0;100590065;5,9 + 65;Bü 5.96 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;48,03307945;9,47374957;5321775,622;3535406,985
4550;0;100800021;8,0 + 21;Bü 8.02 Herbertingen - Isny;Schrankenabschluss;Strasse;48,01926194;9,49142446;5320247,508;3536734,924
4550;0;100840016;8,4 + 16;Bü 8.41 Herbertingen - Isny;Schrankenabschluss;Strasse;48,01741271;9,49594444;5320044,052;3537073,424
4550;0;100850075;8,5 + 75;Bü 8.58 Herbertingen - Isny;Schrankenabschluss;Strasse;48,01650383;9,49758496;5319943,783;3537196,459
4550;0;100930093;9,3 + 93;Bü 9.39 Herbertingen - Isny;Schrankenabschluss;Strasse;48,01069747;9,5043097;5319301,435;3537702,355
4550;0;101150041;11,5 + 41;Bü 11.54 Herbertingen - Isny;Schrankenabschluss;Strasse;47,99482433;9,52064696;5317544,612;3538933,187
4550;0;101240071;12,4 + 71;Bü 12.47 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,98722525;9,52559358;5316702,181;3539308,124
4550;0;101310093;13,1 + 93;Bü 13.195 Herbertingen - Isny;Schrankenabschluss;Strasse;47,9808314;9,525632;5315991,273;3539315,838
4550;0;101380005;13,8 + 5;Bü 13.806 Herbertingen - Isny;Schrankenabschluss;Strasse;47,97547193;9,52376713;5315394,412;3539180,668
4550;0;101420028;14,2 + 28;Bü 14.23 Herbertingen - Isny;Schrankenabschluss;Strasse;47,97176747;9,52247907;5314981,864;3539087,291
4550;0;101470019;14,7 + 19;Bü 14.72 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,96742933;9,52149154;5314499,012;3539016,818
4550;0;101560017;15,6 + 17;Bü 15.615 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,96026034;9,52689741;5313704,644;3539425,928
4550;0;101860074;18,6 + 74;Bü 18.675 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,93562997;9,5442929;5310975,052;3540744,378
4550;0;101920094;19,2 + 94;Bü 19.295 Herbertingen - Isny;Schrankenabschluss;Strasse;47,93139689;9,54942055;5310507,098;3541130,854
4550;0;102040030;20,4 + 30;Bü 20.42 Herbertingen - Isny;Schrankenabschluss;Strasse;47,92992938;9,56432728;5310351,966;3542245,932
4550;0;102270081;22,7 + 81;Bü 22.78 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,92852669;9,59571092;5310213,628;3544592,301
4550;0;102350029;23,5 + 29;Bü 23.534 Herbertingen - Isny;Schrankenabschluss;Strasse;47,92885823;9,60567583;5310256,287;3545336,667
4550;0;102430053;24,3 + 53;Bü 24.34 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,92979781;9,61659567;5310367,218;3546151,841
4550;0;102660006;26,6 + 6;Bü 26.6 Herbertingen - Isny;Schrankenabschluss;Strasse;47,940754;9,64006351;5311599,692;3547895,392
4550;0;102940030;29,4 + 30;Bü 29.432 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,957218;9,65805791;5313441,602;3549224,141
4550;0;102990001;29,9 + 1;Bü 29.897 Herbertingen - Isny;Schrankenabschluss;Strasse;47,95597209;9,66408777;5313306,931;3549675,681
4550;0;103070082;30,7 + 82;Bü 30.784 Herbertingen - Isny;Schrankenabschluss;Strasse;47,95364152;9,67535906;5313055,107;3550519,78
4550;0;103420035;34,2 + 35;Bü 34.235 Herbertingen - Isny;Schrankenabschluss;Strasse;47,93941664;9,71592184;5311500,788;3553564,145
4550;0;103490064;34,9 + 64;Bü 34.965 Herbertingen - Isny;Schrankenabschluss;Strasse;47,93562642;9,72388781;5311084,914;3554163,251
4550;0;103780061;37,8 + 61;Bü 37.864 Herbertingen - Isny;Schrankenabschluss;Strasse;47,92587949;9,75726763;5310025,11;3556667,933
4550;0;103850056;38,5 + 56;Bü 38.555 Herbertingen - Isny;Schrankenabschluss;Strasse;47,92246972;9,76443903;5309651,269;3557207,616
4550;0;104070087;40,7 + 87;Bü 40.788 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,90280166;9,76517423;5307464,976;3557284,237
4550;0;104190059;41,9 + 59;Bü 41.958 Herbertingen - Isny;Schrankenabschluss;Strasse;47,8926187;9,76874155;5306335,413;3557562,218
4550;0;104440059;44,4 + 59;Bü 44.455 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,87201756;9,77999808;5304053,282;3558427,104
4550;0;104490065;44,9 + 65;Bü 44.965 Herbertingen - Isny;Schrankenabschluss;Strasse;47,86824884;9,78377818;5303637,114;3558714,14
4550;0;104560019;45,6 + 19;Bü 45.62 Herbertingen - Isny;Schrankenabschluss;Strasse;47,86337039;9,78867456;5303098,425;3559085,996
4550;0;104670047;46,7 + 47;Bü 46.748 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,85383692;9,79211988;5302041,073;3559354,646
4550;0;104810053;48,1 + 53;Bü 48.153 Herbertingen - Isny;Schrankenabschluss;Strasse;47,841478;9,79311009;5300667,694;3559442,851
4550;0;104920053;49,2 + 53;Bü 49.26 Herbertingen - Isny;Nicht technisch gesichert;Fuss- und Radwege;47,83181973;9,79390642;5299594,444;3559513,489
4550;0;105150023;51,5 + 23;Bü 51.525 Herbertingen - Isny;Nicht technisch gesichert;Fuss- und Radwege;47,82109086;9,81645523;5298419,135;3561214,241
4550;0;105210012;52,1 + 12;Bü 52.112 Herbertingen - Isny;Schrankenabschluss;Strasse;47,81772827;9,82254323;5298050,097;3561674,1
4550;0;105290095;52,9 + 95;Bü 52.995 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,81255582;9,8314753;5297482,151;3562349,179
4550;0;105360030;53,6 + 30;Bü 53.63 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,80854409;9,83752102;5297040,994;3562806,8
4550;0;105430005;54,3 + 5;Bü 54.305 Herbertingen - Isny;Lichtzeichen / Blinklicht;Strasse;47,80401702;9,84349696;5296542,516;3563259,889
4550;0;105660011;56,6 + 11;Bü 56.611 Herbertingen - Isny;Schrankenabschluss;Strasse;47,79420178;9,86791973;5295471,454;3565101,56
4550;0;105740017;57,4 + 17;Bü 57.416 Herbertingen - Isny;Schrankenabschluss;Strasse;47,793707;9,87865212;5295425,522;3565906,262
4550;0;106030047;60,3 + 47;Bü 60.347 Herbertingen - Isny;Schrankenabschluss;Strasse;47,80547649;9,9110985;5296762,235;3568321,769
4550;0;106310046;63,1 + 46;Bü 63.146 Herbertingen - Isny;Schrankenabschluss;Strasse;47,80947159;9,94722784;5297238,947;3571022,569
4550;0;106370023;63,7 + 23;Bü 63.721 Herbertingen - Isny;Schrankenabschluss;Strasse;47,81120089;9,95449085;5297437,909;3571564,184
4550;0;106420096;64,2 + 96;Bü 64.296 Herbertingen - Isny;Schrankenabschluss;Strasse;47,81291817;9,96170392;5297635,538;3572102,039
4560;0;100080054;0,8 + 54;Bü 0.852 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,79028367;9,87349683;5295040,525;3565524,32
4560;0;100140027;1,4 + 27;Bü 1.427 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,78518858;9,8723607;5294473,068;3565445,583
4560;0;100250058;2,5 + 58;Bü 2.555 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,77512716;9,87017424;5293352,549;3565294,327
4560;0;100520044;5,2 + 44;Bü 5.244 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,75098229;9,86959853;5290667,538;3565281,347
4560;0;100690058;6,9 + 58;Bü 6.956 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,73594042;9,86644286;5288992,472;3565063,447
4560;0;100760064;7,6 + 64;Bü 7.664 Kißlegg - Hergatz;Lichtzeichen / Blinklicht;Strasse;47,72966133;9,86543501;5288293,495;3564995,658
4560;0;100910013;9,1 + 13;Bü 9.113 Kißlegg - Hergatz;;Strasse;47,71766728;9,86048362;5286955,816;3564639,057
4560;0;101050005;10,5 + 5;Bü 10.505 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,70881247;9,84747022;5285960,541;3563673,428
4560;0;101230046;12,3 + 46;Bü 12.348 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,69671552;9,83434568;5284604,871;3562703,007
4560;0;101300034;13,0 + 34;Bü 13.038 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,69075581;9,83339033;5283941,481;3562638,426
4560;0;101520049;15,2 + 49;Bü 15.248 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,67418484;9,83313507;5282098,87;3562639,075
4560;0;101800054;18,0 + 54;Bü 18.05 Kißlegg - Hergatz;Schrankenabschluss;Strasse;47,64933453;9,83311713;5279335,941;3562667,427
4561;0;100010036;0,1 + 36;Bü 0.138 Roßberg - Bad Wurzach;Nicht technisch gesichert;Strasse;47,86659085;9,78583528;5303454,332;3558869,915
4561;0;100020044;0,2 + 44;Bü 0.248 Roßberg - Bad Wurzach;Nicht technisch gesichert;Strasse;47,86750414;9,78536991;5303555,523;3558834,066
4561;0;100040002;0,4 + 2;Bü 0.404 Roßberg - Bad Wurzach;Schrankenabschluss;Strasse;47,86888898;9,78555015;5303709,635;3558845,985
4570;0;100260025;2,6 + 25;Bü 2.623 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,84816086;10,00970826;5301599,831;3575646,062
4570;0;100690095;6,9 + 95;Bü 6.995 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,87763908;10,03674025;5304904,171;3577625,225
4570;0;100750032;7,5 + 32;Bü 7.528 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,88085245;10,04208844;5305266,835;3578020,45
4570;0;100960027;9,6 + 27;Bü 9.627 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,88634602;10,06826285;5305904,389;3579969,73
4570;0;101030016;10,3 + 16;Bü 10.316 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,88862885;10,07674077;5306167,013;3580600,234
4570;0;101060028;10,6 + 28;Bü 10.625 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,89046562;10,07988753;5306374,521;3580832,706
4570;0;101100072;11,0 + 72;Bü 11.07 Leutkirch - Memmingen;;Strasse;47,89374581;10,0832521;5306742,756;3581079,198
4570;0;101130035;11,3 + 35;Bü 11.335 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,89595069;10,0845178;5306989,236;3581170,4
4570;0;101250013;12,5 + 13;Bü 12.513 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,90649088;10,08574718;5308162,45;3581245,845
4570;0;101450077;14,5 + 77;Bü 14.578 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,92505119;10,08690964;5310227,326;3581303,691
4570;0;101500063;15,0 + 63;Bü 15.063 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,92941788;10,08710209;5310713,045;3581311,234
4570;0;101570063;15,7 + 63;Bü 15.766 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,93529618;10,08398461;5311363,357;3581069,098
4570;0;101600017;16,0 + 17;Bü 16.018 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,93735569;10,08251484;5311590,805;3580956,069
4570;0;101650024;16,5 + 24;Bü 16.524 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,94157507;10,08004992;5312057,364;3580765,338
4570;0;101870030;18,7 + 30;Bü 18.729 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,96138645;10,07992615;5314260,003;3580725,257
4570;0;101970006;19,7 + 6;Bü 19.705 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,969936;10,08162174;5315212,378;3580838,552
4570;0;101990082;19,9 + 82;Bü 19.982 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,97222021;10,08304998;5315467,85;3580941,628
4570;0;102090084;20,9 + 84;Bü 20.985 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,98113882;10,08379832;5316460,272;3580983,565
4570;0;102210091;22,1 + 91;Bü 22.193 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,99182024;10,08501496;5317649,191;3581057,676
4570;0;102290087;22,9 + 87;Bü 22.988 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,99487205;10,09410096;5317998,099;3581730,999
4570;0;102460033;24,6 + 33;Bü 24.632 Leutkirch - Memmingen;Lichtzeichen / Blinklicht;Strasse;47,99543531;10,116131;5318084,294;3583374,218
4570;0;102820069;28,2 + 69;Bü 28.266 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,98541242;10,15956464;5317017,717;3586632,438
4570;0;102870014;28,7 + 14;Bü 28.712 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,98282224;10,16409638;5316734,819;3586975,056
4570;0;102930013;29,3 + 13;Bü 29.311 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,9793286;10,17020769;5316353,276;3587437,15
4570;0;102980049;29,8 + 49;Bü 29.844 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,97622255;10,17569264;5316014,152;3587851,885
4570;0;103010058;30,1 + 58;Bü 30.152 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,97531607;10,17953402;5315917,742;3588140,215
4570;0;103030093;30,3 + 93;Bü 30.393 Leutkirch - Memmingen;Schrankenabschluss;Strasse;47,97574301;10,18257838;5315968,693;3588366,776
4600;0;104010022;40,1 + 22;Bü 40.123 Plochingen - Immendingen;Schrankenabschluss;Strasse;48,51286471;9,15029608;5375027,766;3511180,265
4600;0;105010039;50,1 + 39;Bü 50.139 Plochingen - Immendingen;Schrankenabschluss;Strasse;48,50844912;9,04208431;5374526,698;3503185,586
4600;0;105150029;51,5 + 29;Bü 51.53 Plochingen - Immendingen;Schrankenabschluss;Strasse;48,4982091;9,03131321;5373387,629;3502390,188
